Comment,Designator,Footprint,JLCPCB Part #（optional）,
ICE40HX1K-TQ144,U1,Package_QFP:TQFP-144_20x20mm_P0.5mm,,
W25Q32JVSNIQ,U2,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,
10K,"R2,R16,R17,R15,R19,R18",Resistor_SMD:R_0402_1005Metric, C25744,
0.01uF,"C10,C29,C27,C6,C11,C13,C15",Capacitor_SMD:C_0402_1005Metric,C15195,
0.1uF,"C26,C18,C28,C19,C21,C23,C25,C24,C3,C9,C12,C14,C2",Capacitor_SMD:C_0402_1005Metric,C1525,
10uF,"C30,C16,C20,C1,C4",Capacitor_SMD:C_0402_1005Metric,C15525,
100,R20,Resistor_SMD:R_0402_1005Metric,C25076,
LED,D5,LED_SMD:LED_0402_1005Metric,C2898986,
MIC5504-1.2YM5,U3,Package_TO_SOT_SMD:SOT-23-5,C73478,
4.7uF,C8,Capacitor_SMD:C_0402_1005Metric,C23733,
DSC1001DI1-012.0000,U4,Oscillator:Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm,C1670454,
1 uF,"C17,C22",Capacitor_SMD:C_0402_1005Metric,C52923,
SSW-120-01-T-D-006,J2,ice4pi:PinSocket_2x20_P2.54mm_Vertical_1_04mm,C35165,
Pmod 2x6,J1,ice4pi:PinSocket_2x06_P2.54mm_Vertical_1to6_7to12,C5307342,C718230
CDBU0520,D6,Diode_SMD:D_0603_1608Metric,C2886028,C143772
LED,"D4,D3,D2,D1",LED_SMD:LED_0402_1005Metric,C2898986,
1K,"R14,R13,R12,R11,R10",Resistor_SMD:R_0402_1005Metric,C478866,
3.3K,"R111,R112,R113,R114,R115,R116,R117,R118,R211,R212,R213,R214,R215,R216,R217,R218",R0402,C25890,
6.2K,"R121,R122,R123,R124,R125,R126,R127,R128,R221,R222,R223,R224,R225,R226,R227,R228",,C325566,
GRM155C8YA224KE01J,"C33,C34",Capacitor_SMD:C_0402_1005Metric,C16772,
ZRB15XR61A106ME01D,C7,Capacitor_SMD:C_0402_1005Metric,C527590,
ERJ-2GEJ102X ,"R3,R4",Resistor_SMD:R_0402_1005Metric,C11702,
150060VS55040,D7,Diode_SMD:D_0603_1608Metric,C72043,
150060RS55040,D8,Diode_SMD:D_0603_1608Metric,C2286,
112-024-113R001,J3,ice4pi:centronix-24-male,,
SN75160BN ,U6,Package_DIP:DIP-20_W7.62mm, C2328,
SN75161BN ,U7,Package_DIP:DIP-20_W7.62mm, C2328,
