Designator,Mid X,Mid Y,Layer,Rotation
C2,58.37,-10,bottom,-90
C3,25.15,-10.75,bottom,0
C6,30.45,-10.65,bottom,0
C9,36.15,-13.05,bottom,90
C11,35.5,-19.7,bottom,-90
C12,24.65,-25.7,bottom,0
C13,29.95,-25.7,bottom,0
C14,20.95,-25.05,bottom,-90
C15,20.697006,-11.60592,bottom,90
C18,36.65,-26.1,bottom,180
C21,20.95,-21.05,bottom,90
C23,35.5,-16.4,bottom,90
C25,28,-25.7,bottom,0
J2,32.53,-3.53,bottom,0
R18,24.65,-21.45,bottom,0
R19,24.65,-22.45,bottom,0
C1,2.15,-10.15,top,-90
C4,3.323456,-17.510966,top,-90
C7,32.4,-45.45,top,-90
C8,11.35,-10.05,top,-90
C10,8.7,-27.65,top,-90
C16,15.779546,-11.244888,top,-90
C17,14.779546,-11.244888,top,-90
C19,39.1,-7.3,top,0
C20,45.210392,-8.797011,top,90
C22,46.210392,-8.797011,top,90
C24,47.210392,-8.797011,top,90
C26,14.85,-28,top,90
C27,48.210392,-8.797011,top,90
C28,11.85,-21.5,top,90
C29,13.779546,-11.244888,top,-90
C30,15.85,-28,top,90
C33,4.5,-35.5,top,-90
C34,33.71,-35.5,top,-90
D1,51.15,-13,top,-90
D2,53.15,-15,top,-90
D3,51.15,-17,top,90
D4,49.15,-15,top,90
D5,51.15,-15,top,90
D6,41.75,-8.55,top,0
D7,1.1,-33.5,top,90
D8,1.1,-42.9,top,90
J1,62.77,-21.35,top,180
J3,74,-28,top,-90
R2,9.2,-24.2,top,90
R3,1.1,-36.05,top,-90
R4,1.1,-45.5,top,-90
R10,47.982852,-20.321589,top,-90
R11,49.032852,-20.321589,top,-90
R12,50.082852,-20.321589,top,-90
R13,51.132852,-20.321589,top,-90
R14,52.14399,-20.336959,top,-90
R15,11.85,-17.5,top,90
R16,7.45,-15.25,top,0
R17,7.9,-24.2,top,90
R20,15.95,-24,top,-90
R111,8.31,-45.5,top,-90
R112,10.85,-45.5,top,-90
R113,13.35,-45.5,top,-90
R114,15.89,-45.5,top,-90
R115,18.43,-45.5,top,-90
R116,20.97,-45.5,top,-90
R117,23.51,-45.5,top,-90
R118,26.05,-45.5,top,-90
R121,8.27,-47.5,top,-90
R122,10.81,-47.5,top,-90
R123,13.35,-47.5,top,-90
R124,15.89,-47.5,top,-90
R125,18.43,-47.5,top,-90
R126,20.97,-47.5,top,-90
R127,23.51,-47.5,top,-90
R128,26.05,-47.515,top,-90
R211,37.48,-45.5,top,-90
R212,40.02,-45.5,top,-90
R213,42.56,-45.5,top,-90
R214,45.1,-45.5,top,-90
R215,47.64,-45.5,top,-90
R216,50.18,-45.5,top,-90
R217,52.72,-45.5,top,-90
R218,55.26,-45.5,top,-90
R221,37.48,-47.5,top,-90
R222,40.02,-47.5,top,-90
R223,42.56,-47.5,top,-90
R224,45.1,-47.5,top,-90
R225,47.64,-47.5,top,-90
R226,50.18,-47.5,top,-90
R227,52.72,-47.5,top,-90
R228,55.26,-47.515,top,-90
U1,28.25,-18.3,top,0
U2,8.55,-19.5,top,-90
U3,6.65,-10.75,top,0
U4,10.7,-28.2,top,-90
U6,18.43,-38.69,top,0
U7,47.64,-38.69,top,0
