Designator,Mid X,Mid Y,Layer,Rotation
J2,-8.4,-4.8,bottom,-90
C1,77.6,-20.8,top,180
C2,66.7,-27.7,top,0
C3,83,-39,top,90
C4,67,-34.2,top,90
C5,78,-42.9,top,90
C6,78,-40.2,top,90
C7,78,-38.2,top,-90
C8,78.1,-34.5,top,90
J1,70.16,-53.77,top,90
J3,11.2,-53.5,top,0
J4,70.5,-14.695,top,90
L1,78.2,-23.6,top,90
R1,75.6,-21.8,top,180
R2,75.6,-22.8,top,180
R3,70.1,-28.7,top,180
R4,66.7,-28.7,top,0
R5,67,-31.19,top,-90
R6,80.8,-22.4,top,0
R7,82.8,-22.4,top,0
R8,78,-44.9,top,-90
R9,13.6,-46.5,top,0
R10,67.4,-45,top,-90
U1,72.7,-39.2,top,0
U2,81,-39,top,90
